"Cod_Prod","Nom_Prod","Concent","Nom_Form_Farm","Nom_Form_Farm_Simplif","Presentac","Fracciones","Fec_Vcto_Reg_Sanitario","Num_RegSan","Nom_Titular","Situacion"
"48889"," AB-BRONCOL NF 300","250 mg + 50 mg","Polvo para Suspensión Inyectable","INYECTABLE","Caja Vial + 1 Ampolla x 3 mL","1","30/12/2023","EN07639","MEDIFARMA","ACT"
"47787"," ACIDO FUSIDICO","2 %","Crema","CREMA","Caja Tubo x 15 g","1","09/01/2021","NG4822","FARMINDUSTRIA S.A.","ACT"
"48612"," ALERCET D","5 mg/ 60 mg","Jarabe","SOLUCION","Caja Frasco x 60 mL + accesorio","1","10/06/2022","EE07780","UNIMED","ACT"
"49304"," ALERFAST D ","5 mg + 60 mg","Solución Oral","SOLUCION","Caja Frasco x 60 mL + accesorio","1","21/01/2023","EE08148","MEGA LABS LATAM S.A.","ACT"
"45708"," ALERFORT ","2.5 mg/5 mL","Solución Oral","SOLUCION","Caja Frasco x 60 mL + Accesorio","1","18/12/2022","EN05818","NOVAX","ACT"
"51029"," APROFLAM ","550 mg","Tableta Recubierta","TABLETA","Caja Envase Blíster Tableta Recubierta","100","21/05/2022","EN07311","PHARMA -C","ACT"
"45673"," ATORVASTATINA","20 mg","Tableta Recubierta","TABLETA","Caja Envase Blister Tabletas Recubiertas","20","08/03/2022","EN05416","INDUQUIMICA","ACT"
"45675"," BENODET","15 mg + 4 mg","Tableta Recubierta","TABLETA","Caja Envase Blister Tabletas Recubiertas","60","26/10/2019","EN04329","GABBLAN","ACT"
"45974"," BIO-CISTENID","500 mg","Comprimido Recubierto","TABLETA","Caja Envase Blister Comprimidos","60","05/09/2021","EN04490","BIOSANA","ACT"
"40072"," CEFSTALIP","500  mg","Tableta Recubierta","TABLETA","Caja Envase Blister Tabletas","10","26/10/2021","EE04419","DROGUERIA LIPHARMA S.A.C","ACT"
"49575"," CEFTRIAXONA","1 g","Polvo para Solución Inyectable","INYECTABLE","Caja Vial","10","11/10/2024","EE07885","DISTRIBUIDORA DANY S.A.C.","ACT"
"45134"," CLUVAX","100  mg/132  mg","Cápsula Blanda Vaginal","CAPSULA","Caja Envase Blíster Cápsulas Blandas Vaginales ","3","04/05/2020","EE03376","FARMINDUSTRIA S.A.","ACT"
"50876"," DANUVIR","300 mg","Tableta Recubierta","TABLETA","Caja Envase Blister Tabletas Recubiertas","60","24/12/2023","EE06838","OQ PHARMA","ACT"
